dataset,species,dataset_type,outcome_raw,outcome_label,gene_class,filter_mode,estimate,std_error,residual_df,t_statistic,p_value,confidence_interval_low,confidence_interval_high,n_obs,p_value_fdr
E. coli consensus,E. coli,Consensus,mean_ln,Mean expression,Accessory,Excl. Trans/Transl (Sensitivity),-0.001921173116031183,0.1725718201108774,3656,-0.011132600414116447,0.9911182608911966,-0.34026773852539083,0.33642539229332846,3660,0.9988139914570369
E. coli consensus,E. coli,Consensus,slope,Growth slope,Core,Full (All Genes),-0.9000029711201498,0.17852089326910783,3716,-5.041443355111706,4.84083369069788e-7,-1.2500114955393686,-0.549994446700931,3720,7.099889413023557e-6
E. coli consensus,E. coli,Consensus,slope,Growth slope,Accessory,Full (All Genes),-0.5808404251931517,0.10051020843025382,3716,-5.778919716361043,8.136250477280847e-9,-0.7779009994347937,-0.3837798509515097,3720,1.4319800840014293e-7
E. coli consensus,E. coli,Consensus,slope,Growth slope,Core,Excl. Trans/Transl (Sensitivity),-0.6378404248558709,0.18366098738946304,3656,-3.472922768858341,5.207949343887493e-4,-0.9979285565276055,-0.27775229318413625,3660,0.0032735681590149958
E. coli consensus,E. coli,Consensus,slope,Growth slope,Accessory,Excl. Trans/Transl (Sensitivity),-0.5816769567365808,0.1004200631168155,3656,-5.792437673136436,7.522694663484793e-9,-0.7785618446165113,-0.3847920688566503,3660,1.4319800840014293e-7
B. subtilis consensus,B. subtilis,Consensus,mean_ln,Mean expression,Core,Full (All Genes),-0.15692880976153467,0.30929675635377657,1818,-0.5073729566760733,0.6119546973192771,-0.7635431720615036,0.44968555253843423,1822,0.8646989603594902
B. subtilis consensus,B. subtilis,Consensus,mean_ln,Mean expression,Accessory,Full (All Genes),0.9671260232063068,0.4829182271421063,1818,2.0026703670510138,0.045360932557163794,0.019993127749210915,1.9142589186634027,1822,0.14784303944557087
B. subtilis consensus,B. subtilis,Consensus,mean_ln,Mean expression,Core,Excl. Trans/Transl (Sensitivity),0.5721718084519269,0.31584552157543094,1761,1.8115558694577836,0.07022514302741388,-0.04729980667766365,1.1916434235815174,1765,0.20599375288041402
B. subtilis consensus,B. subtilis,Consensus,mean_ln,Mean expression,Accessory,Excl. Trans/Transl (Sensitivity),0.9745269156782421,0.47432462886008514,1761,2.0545568506958243,0.040069104890839216,0.04422832391705667,1.9048255074394276,1765,0.13561850886130197
B. subtilis consensus,B. subtilis,Consensus,slope,Growth slope,Core,Full (All Genes),-0.05396235510093053,0.3059314169798068,1818,-0.17638709889181584,0.8600094852835085,-0.6539763791938973,0.5460516689920363,1822,0.9917461070817164
B. subtilis consensus,B. subtilis,Consensus,slope,Growth slope,Accessory,Full (All Genes),0.6473830236666724,0.47766377913764646,1818,1.3553111036290626,0.17548681655458748,-0.2894444820312825,1.5842105293646274,1822,0.3744164586128075
B. subtilis consensus,B. subtilis,Consensus,slope,Growth slope,Core,Excl. Trans/Transl (Sensitivity),0.3374794403253415,0.3177370698972823,1761,1.0621343000186962,0.2883203551278982,-0.2857020912475413,0.9606609718982243,1765,0.4974939461030401
B. subtilis consensus,B. subtilis,Consensus,slope,Growth slope,Accessory,Excl. Trans/Transl (Sensitivity),0.6523797750194085,0.4771652832130669,1761,1.36719874217694,0.17173750438137453,-0.2834902262437675,1.5882497762825845,1765,0.3744164586128075
Schmidt (E. coli),E. coli,Individual,mean_ln,Mean expression,Core,Full (All Genes),-0.999996445744157,0.3552488226401551,2036,-2.814918395259795,0.004925897151694221,-1.6966855083354555,-0.30330738315285843,2040,0.022814681544689023
Schmidt (E. coli),E. coli,Individual,mean_ln,Mean expression,Accessory,Full (All Genes),-0.16133262481498134,0.2351577696546314,2036,-0.686061213507533,0.4927526235979003,-0.6225075412697985,0.2998422916398357,2040,0.7519250349655784
Schmidt (E. coli),E. coli,Individual,mean_ln,Mean expression,Core,Excl. Trans/Transl (Sensitivity),-0.16778810362837915,0.3636481907230427,1978,-0.4614022781050157,0.644560750787581,-0.8809618564870058,0.5453856492302475,1982,0.8742497598277101
Schmidt (E. coli),E. coli,Individual,mean_ln,Mean expression,Accessory,Excl. Trans/Transl (Sensitivity),-0.15781149040740078,0.23153913213370866,1978,-0.6815758915269156,0.49558695486367665,-0.6118977089283913,0.2962747281135898,1982,0.7519250349655784
Schmidt (E. coli),E. coli,Individual,slope,Growth slope,Core,Full (All Genes),-0.5215024496857393,0.1567530925177228,2036,-3.3269037395659504,8.93786163824927e-4,-0.828915615119592,-0.21408928425188667,2040,0.005243545494439571
Schmidt (E. coli),E. coli,Individual,slope,Growth slope,Accessory,Full (All Genes),-0.09311293557857603,0.10376306766897411,2036,-0.8973610521580353,0.3696323845360391,-0.2966057826727405,0.11037991151558849,2040,0.6137292422485178
Schmidt (E. coli),E. coli,Individual,slope,Growth slope,Core,Excl. Trans/Transl (Sensitivity),-0.3369693542335854,0.1640171411288373,1978,-2.054476452365989,0.04006072394129894,-0.658633872457693,-0.015304836009477907,1982,0.13561850886130197
Schmidt (E. coli),E. coli,Individual,slope,Growth slope,Accessory,Excl. Trans/Transl (Sensitivity),-0.09372081460004592,0.10443166632154678,1978,-0.8974367440569033,0.36959512992855637,-0.2985284426532275,0.11108681345313565,1982,0.6137292422485178
Peebo (E. coli),E. coli,Individual,mean_ln,Mean expression,Core,Full (All Genes),-0.5199906595849255,0.4590347333296605,1089,-1.1327915336887784,0.25755115000917495,-1.4206832565563348,0.3807019373864837,1093,0.4643549831449588
Peebo (E. coli),E. coli,Individual,mean_ln,Mean expression,Accessory,Full (All Genes),0.1720151738158996,0.3352614161137994,1089,0.5130777523098919,0.608000996699122,-0.48581625726883537,0.8298466049006346,1093,0.8646989603594902
Peebo (E. coli),E. coli,Individual,mean_ln,Mean expression,Core,Excl. Trans/Transl (Sensitivity),0.7597048063550313,0.4695760958410135,1033,1.6178523844881747,0.10599969487002472,-0.16172704810573135,1.681136660815794,1037,0.257561541075504
Peebo (E. coli),E. coli,Individual,mean_ln,Mean expression,Accessory,Excl. Trans/Transl (Sensitivity),0.17628847778475343,0.32510656034337454,1033,0.5422482942163922,0.5877644217975129,-0.4616561353413373,0.8142330909108442,1037,0.8620544853030189
Peebo (E. coli),E. coli,Individual,slope,Growth slope,Core,Full (All Genes),-1.6536771133197519,0.9626130379037321,1089,-1.7179043376775154,0.08609833402325391,-3.5424632422016202,0.23510901556211627,1093,0.24440817400149498
Peebo (E. coli),E. coli,Individual,slope,Growth slope,Accessory,Full (All Genes),-0.842641911726157,0.7030557533550343,1089,-1.1985420895924785,0.23096680243638829,-2.222139074635332,0.5368552511830182,1093,0.4514052966006653
Peebo (E. coli),E. coli,Individual,slope,Growth slope,Core,Excl. Trans/Transl (Sensitivity),-0.4420552560212368,1.0324494082328484,1033,-0.4281616634154146,0.6686226778628925,-2.467992652091345,1.5838821400488714,1037,0.87819097987962
Peebo (E. coli),E. coli,Individual,slope,Growth slope,Accessory,Excl. Trans/Transl (Sensitivity),-0.8425624728082152,0.7148065644993531,1033,-1.178727944948773,0.2387779586865487,-2.2452010315869106,0.5600760859704802,1037,0.4514052966006653
Li (E. coli),E. coli,Individual,mean_ln,Mean expression,Core,Full (All Genes),-1.0875453721136359,0.2992948950193952,3685,-3.6336916874013494,2.8320520047563915e-4,-1.674345324684437,-0.5007454195428347,3689,0.002076838136821354
Li (E. coli),E. coli,Individual,mean_ln,Mean expression,Accessory,Full (All Genes),-0.19138754761226973,0.1693736119934057,3685,-1.129972640718798,0.25856129743298845,-0.5234627989393432,0.14068770371480382,3689,0.4643549831449588
Li (E. coli),E. coli,Individual,mean_ln,Mean expression,Core,Excl. Trans/Transl (Sensitivity),-0.35433095656300334,0.30221283668372423,3625,-1.1724550169714414,0.2410914652299008,-0.9468550710765766,0.23819315795057,3629,0.4514052966006653
Li (E. coli),E. coli,Individual,mean_ln,Mean expression,Accessory,Excl. Trans/Transl (Sensitivity),-0.18525167885460028,0.16606981270235208,3625,-1.1155048340219904,0.26470809077555923,-0.5108512456985308,0.14034788798933026,3629,0.4658862397649843
Li (E. coli),E. coli,Individual,slope,Growth slope,Core,Full (All Genes),-0.8827369372967802,0.21092236229926387,3685,-4.185127303117925,2.91658501253119e-5,-1.296272999063917,-0.4692008755296432,3689,2.851772012252719e-4
Li (E. coli),E. coli,Individual,slope,Growth slope,Accessory,Full (All Genes),-0.8601308399792125,0.11936281890305203,3685,-7.206019829992633,6.953851600829307e-13,-1.0941545324531157,-0.6261071475053093,3689,3.6427754976727493e-11
Li (E. coli),E. coli,Individual,slope,Growth slope,Core,Excl. Trans/Transl (Sensitivity),-0.6664493499864022,0.2180057740656407,3625,-3.057026139985342,0.002251746422641865,-1.0938755296766924,-0.2390231702961118,3629,0.011008538066249117
