dataset,n_conditions,replicate,n_genes_used,beta_slope,beta_mean,beta_diff
E. coli Consensus,10,40,1695,-0.04691771924085442,-0.04995312002326188,0.003035400782407459
E. coli Consensus,10,41,1086,-0.020641478687601297,-0.002100067153010973,-0.018541411534590324
E. coli Consensus,10,42,1700,-0.09158033414711547,-0.06896610122834822,-0.022614232918767255
E. coli Consensus,10,43,1077,-0.08361071779210624,-0.02042148597347641,-0.06318923181862983
E. coli Consensus,10,44,1627,-0.07413925364139612,-0.11170177189136674,0.03756251824997062
E. coli Consensus,10,45,1700,-0.10268449101814395,-0.07917912541896546,-0.023505365599178485
E. coli Consensus,10,46,1699,-0.08719669337844149,-0.0946742258746782,0.0074775324962367135
E. coli Consensus,10,47,1695,-0.09252902807521317,-0.05730893627395537,-0.0352200918012578
E. coli Consensus,10,48,1699,-0.12192861394671954,-0.07458243182348911,-0.047346182123230426
E. coli Consensus,10,49,1700,-0.0784919139748558,-0.07048467480363405,-0.008007239171221758
E. coli Consensus,10,50,1695,-0.16777479359025232,-0.05636144815901755,-0.11141334543123477
E. coli Consensus,10,51,1627,-0.02864088047860817,-0.08066499464971585,0.05202411417110768
E. coli Consensus,10,52,1627,0.049670688222609546,-0.036543800422454475,0.08621448864506402
E. coli Consensus,10,53,1695,-0.11951334450549833,-0.0531724835771586,-0.06634086092833974
E. coli Consensus,10,54,1699,-0.0474373460875247,-0.05797938856585203,0.01054204247832733
E. coli Consensus,10,55,1086,-0.07165202696332318,0.015111040454458661,-0.08676306741778184
E. coli Consensus,10,56,1682,-0.1406680061810135,-0.06885655052826502,-0.07181145565274848
E. coli Consensus,10,57,1086,-0.0551546152143784,-0.035660896606123246,-0.019493718608255155
E. coli Consensus,10,58,1700,-0.1496318138985245,-0.050109685183585585,-0.09952212871493893
E. coli Consensus,10,59,1086,-0.1168843889460801,-0.03978390158514409,-0.077100487360936
E. coli Consensus,10,60,1682,-0.02946758695724847,-0.05328076310856705,0.023813176151318585
E. coli Consensus,10,61,1695,-0.06914847184258095,-0.04941978556609021,-0.019728686276490742
E. coli Consensus,10,62,1699,-0.11359731834547902,-0.06370394848402827,-0.04989336986145075
E. coli Consensus,10,63,1695,-0.07112128700350125,-0.0746331684893886,0.0035118814858873526
E. coli Consensus,10,64,1700,-0.0312461054114684,-0.07545901680721052,0.04421291139574213
E. coli Consensus,10,65,1086,-0.029662412970576632,-0.01878007830521361,-0.010882334665363022
E. coli Consensus,10,66,1086,0.021952134344160622,-0.020662707673559804,0.04261484201772042
E. coli Consensus,10,67,1086,-0.11481650550264999,-0.07195312672997174,-0.04286337877267825
E. coli Consensus,10,68,1695,-0.11064445117857094,-0.07088398204913433,-0.03976046912943661
E. coli Consensus,10,69,1695,-0.08546127600006805,-0.046469870602873505,-0.03899140539719454
E. coli Consensus,10,70,1699,-0.059589922590149315,-0.09723964201054923,0.037649719420399914
E. coli Consensus,10,71,1695,-0.09394593865849456,-0.07187148491082987,-0.022074453747664688
E. coli Consensus,10,72,1695,-0.11825039797494609,-0.06699856524555599,-0.0512518327293901
E. coli Consensus,10,73,1085,-0.030793022240880725,-0.03685180752721082,0.006058785286330092
E. coli Consensus,10,74,1083,-0.022762374057975713,-0.0065861553121128345,-0.016176218745862878
E. coli Consensus,10,75,1695,-0.11575804699765506,-0.051465544741286964,-0.0642925022563681
E. coli Consensus,10,76,1700,-0.016194683154864987,-0.07200336639516887,0.055808683240303886
E. coli Consensus,10,77,1086,-0.03873504455923651,-0.010614247446723093,-0.028120797112513415
E. coli Consensus,10,78,1086,-0.09021750216781187,0.006504268306323576,-0.09672177047413544
E. coli Consensus,10,79,1700,-0.04767253372995081,-0.0388857390066182,-0.00878679472333261
E. coli Consensus,10,80,1695,-0.04668287415377517,-0.043050789776674266,-0.0036320843771009068
E. coli Consensus,10,81,1700,-0.08227555494237435,-0.09260772159414574,0.01033216665177139
E. coli Consensus,10,82,1700,-0.04251138150998416,-0.09333113692874526,0.050819755418761096
E. coli Consensus,10,83,1695,-0.04533869816194575,-0.0468070864732091,0.0014683883112633495
E. coli Consensus,10,84,1695,-0.11377769851388037,-0.0585344723838765,-0.05524322613000387
E. coli Consensus,10,85,1086,-0.05232009175484483,0.020589625082125904,-0.07290971683697073
E. coli Consensus,10,86,1682,-0.10802461072549212,-0.07228192770029601,-0.035742683025196106
E. coli Consensus,10,87,1695,-0.06300695444080154,-0.05100060275444382,-0.012006351686357719
E. coli Consensus,10,88,1695,-0.02584266701385248,-0.06465800842948789,0.03881534141563541
E. coli Consensus,10,89,1695,-0.12671237080083647,-0.052119264097569035,-0.07459310670326744
E. coli Consensus,10,90,1682,-0.1456341980555078,-0.08192715903682338,-0.06370703901868444
E. coli Consensus,10,91,1682,-0.08836425506999554,-0.05299311580768865,-0.03537113926230689
E. coli Consensus,10,92,1627,-0.018011862574855493,-0.07275734821188451,0.054745485637029016
E. coli Consensus,10,93,1086,-0.10341294079096904,-0.06397673831844018,-0.03943620247252885
E. coli Consensus,10,94,1695,-0.05415814967859615,-0.04483905077853761,-0.00931909890005854
E. coli Consensus,10,95,1627,-0.024491045777187095,-0.08919081755732128,0.06469977178013418
E. coli Consensus,10,96,1340,-0.13373319668114797,-0.013297443815890717,-0.12043575286525725
E. coli Consensus,10,97,1695,-0.16131803887701246,-0.06390556946740844,-0.09741246940960402
E. coli Consensus,10,98,1695,-0.06321140964535918,-0.053519943331844455,-0.009691466313514724
E. coli Consensus,10,99,1626,-0.03815395437283422,-0.06931299103048309,0.031159036657648874
E. coli Consensus,10,100,1627,-0.0487188036754323,-0.04834259937554697,-3.762042998853299e-4
E. coli Consensus,15,1,1700,-0.08033793527211276,-0.08199918813389422,0.0016612528617814537
E. coli Consensus,15,2,1700,-0.09752354867778151,-0.08442232141730456,-0.013101227260476953
E. coli Consensus,15,3,1695,-0.01804251277753291,-0.04288300805182691,0.024840495274294
E. coli Consensus,15,4,1700,-0.061292592382376415,-0.06757003082078326,0.006277438438406849
E. coli Consensus,15,5,1700,-0.12794685749747206,-0.090830397720203293,-0.03711645977726877
E. coli Consensus,15,6,1695,-0.114968925558355,-0.060400484020888476,-0.054568441537466525
E. coli Consensus,15,7,1695,-0.11771741989732305,-0.06763759250963884,-0.05007982738768421
E. coli Consensus,15,8,1700,-0.13703422793850117,-0.10045489874995728,-0.036579329188543896
E. coli Consensus,15,9,1695,-0.10504335677907256,-0.038663611065595,-0.06637974571347756
E. coli Consensus,15,10,1695,-0.09353266544730901,-0.039872062350910543,-0.05366060309639847
E. coli Consensus,15,11,1700,-0.13162191249322544,-0.09249188011085695,-0.03913003238236849
E. coli Consensus,15,12,1700,-0.10640778402333848,-0.08829243350178109,-0.018115350521557383
E. coli Consensus,15,13,1700,-0.12325567712930609,-0.05285474346899421,-0.07040093366031189
E. coli Consensus,15,14,1627,-0.05285252596154475,-0.09984723773057856,0.04699471176903381
E. coli Consensus,15,15,1700,-0.09951521149166742,-0.048173808355812156,-0.051341403135855265
E. coli Consensus,15,16,1695,-0.11120098337570632,-0.04919575477660782,-0.062005228599098496
E. coli Consensus,15,17,1700,-0.09103189933442561,-0.08617377328431075,-0.004858126050114861
E. coli Consensus,15,18,1695,-0.14158353399855853,-0.06855424134647392,-0.0730292926520846
E. coli Consensus,15,19,1700,-0.15328630096981324,-0.09482921919526079,-0.05845708177455246
E. coli Consensus,15,20,1695,-0.14972252607421624,-0.04611632605881917,-0.10360620001539707
E. coli Consensus,15,21,1695,0.016071088807359253,-0.06299824400206956,0.07906933280942882
E. coli Consensus,15,22,1700,-0.1281224844591092,-0.08183474594938633,-0.04628773850972287
E. coli Consensus,15,23,1695,-0.05028673627450948,-0.05089570805916445,6.089717846549658e-4
E. coli Consensus,15,24,1700,-0.1476937293560358,-0.09850714531353998,-0.04918658404249583
E. coli Consensus,15,25,1700,-0.09917869244624554,-0.07749580957375499,-0.021682882872490553
E. coli Consensus,15,26,1700,-0.07158982678612656,-0.053598068549053475,-0.017991758237073087
E. coli Consensus,15,27,1700,-0.08744879976803203,-0.08496345482132013,-0.0024853449467119038
E. coli Consensus,15,28,1700,-0.04948381964895595,-0.061087639780288354,0.011603820131332404
E. coli Consensus,15,29,1695,-0.11508901216040901,-0.06318882660172981,-0.0519001855586792
E. coli Consensus,15,30,1695,-0.11483933186076903,-0.06003419165291658,-0.054805140207852446
E. coli Consensus,15,31,1695,-0.12605294037782427,-0.042295123437889035,-0.08375781693993524
E. coli Consensus,15,32,1700,-0.08654104177491931,-0.05800363432566237,-0.028537407449256938
E. coli Consensus,15,33,1700,-0.11142011562693704,-0.08424388706155193,-0.02717622856538511
E. coli Consensus,15,34,1086,-0.07584598521418964,-0.003690312562984065,-0.07215567265120558
E. coli Consensus,15,35,1700,-0.12495554369998156,-0.08063045986768554,-0.044325083832296025
E. coli Consensus,15,36,1700,-0.10015561412111787,-0.06833158525900519,-0.03182402886211268
E. coli Consensus,15,37,1695,-0.08628581136556318,-0.0450514329785098,-0.04123437838705338
E. coli Consensus,15,38,1700,-0.04460533496567544,-0.0736534742010535,0.029048139235378065
E. coli Consensus,15,39,1700,-0.11873179836114223,-0.08937563545363388,-0.02935616290750835
E. coli Consensus,15,40,1700,-0.06817428046030961,-0.06324469927474628,-0.004929581185563331
E. coli Consensus,15,41,1695,-0.016850767653410453,-0.04261446196422111,0.02576369431081066
E. coli Consensus,15,42,1627,-0.0304267842331283,-0.07562037268058636,0.045193588447458057
E. coli Consensus,15,43,1700,-0.11006950954886952,-0.08809088787922838,-0.021978621669641138
E. coli Consensus,15,44,1700,-0.13095351277075779,-0.09382300872062231,-0.037130504050135474
E. coli Consensus,15,45,1700,-0.08973410540217516,-0.07116008789284792,-0.018574017509327245
E. coli Consensus,15,46,1695,-0.061358559373708536,-0.04912253578485535,-0.012236023588853187
E. coli Consensus,15,47,1700,-0.060757760817323675,-0.06738008085349131,0.006622320036167639
E. coli Consensus,15,48,1700,-0.1882338313503631,-0.08986820191610702,-0.09836562943425607
E. coli Consensus,15,49,1695,-0.09233427453791251,-0.05803647056051529,-0.03429780397739723
E. coli Consensus,15,50,1700,-0.1451175122073659,-0.052001137845125396,-0.09311637436224052
E. coli Consensus,15,51,1695,-0.1325775593079669,-0.05729869877161596,-0.07527886053635095
E. coli Consensus,15,52,1700,-0.0998636036625901,-0.04768450872387312,-0.05217909493871698
E. coli Consensus,15,53,1700,-0.07818249798981976,-0.06353795636328947,-0.014644541626530283
E. coli Consensus,15,54,1700,-0.13868825388326764,-0.04165575685547409,-0.09703249702779354
E. coli Consensus,15,55,1700,-0.08511847411287066,-0.06539895624154005,-0.01971951787133061
E. coli Consensus,15,56,1695,-0.11210011429297445,-0.03917525141111979,-0.07292486288185465
E. coli Consensus,15,57,1700,-0.0685180909239889,-0.07299086605905501,0.004472775135066109
E. coli Consensus,15,58,1695,-0.09964663419684303,-0.046296737981691385,-0.05334989621515164
E. coli Consensus,15,59,1695,-0.14618523108738754,-0.0735554878355087,-0.07262974325187883
E. coli Consensus,15,60,1695,-0.12817924838180136,-0.048692225368922586,-0.07948702301287877
E. coli Consensus,15,61,1700,-0.013706933356649137,-0.06841183876186833,0.0547049054052192
E. coli Consensus,15,62,1700,-0.12808240391921552,-0.10509221422305133,-0.02299018969616419
E. coli Consensus,15,63,1695,-0.06779615120018145,-0.04179268921052419,-0.026003461989657264
E. coli Consensus,15,64,1695,-0.0682681006235502,-0.04512950848323498,-0.023138592140315217
E. coli Consensus,15,65,1700,-0.14753119007006668,-0.09037970546845825,-0.05715148460160843
E. coli Consensus,15,66,1695,-0.10034192580828881,-0.05713980524636518,-0.04320212056192363
E. coli Consensus,15,67,1700,-0.0754119930484903,-0.07205276203136068,-0.0033592310171296214
E. coli Consensus,15,68,1700,-0.013199546915038517,-0.0808666011131037,0.06766705419806518
E. coli Consensus,15,69,1695,-0.14819890962630633,-0.05273286124129422,-0.0954660483850121
E. coli Consensus,15,70,1695,-0.12834677606956582,-0.06432025881107056,-0.06402651725849526
E. coli Consensus,15,71,1700,-0.10428044189522528,-0.06897427466271637,-0.035306167232508914
E. coli Consensus,15,72,1700,-0.06749318303620497,-0.055148608555178016,-0.012344574481026951
E. coli Consensus,15,73,1700,-0.08341475440252927,-0.05495930459497607,-0.0284554498075532
E. coli Consensus,15,74,1700,-0.16703115018982623,-0.07635361892504523,-0.090677531264781
E. coli Consensus,15,75,1700,-0.07224738395347365,-0.07535557430444767,0.0031081903509740244
E. coli Consensus,15,76,1700,-0.11582471878203165,-0.06359114659135857,-0.05223357219067308
E. coli Consensus,15,77,1699,-0.1015711943091163,-0.06609760146848306,-0.03547359284063324
E. coli Consensus,15,78,1695,-0.1360836346286196,-0.07303987914586689,-0.06304375548275272
E. coli Consensus,15,79,1695,-0.1469197232671624,-0.06743914282523877,-0.07948058044192363
E. coli Consensus,15,80,1695,-0.0865116617701115,-0.06672387206924557,-0.019787789700865935
E. coli Consensus,15,81,1695,-0.12403310559849677,-0.05333176540276042,-0.07070134019573635
E. coli Consensus,15,82,1627,-0.06746672592304231,-0.07243887187470156,0.004972145951659249
E. coli Consensus,15,83,1700,-0.06013386168054673,-0.04219753518055515,-0.01793632649999158
E. coli Consensus,15,84,1695,-0.1531977920464309,-0.06728537649191427,-0.08591241555451662
E. coli Consensus,15,85,1695,-0.07940005603821564,-0.04117229341318156,-0.03822776262503408
E. coli Consensus,15,86,1695,-0.04697232218072313,-0.045049875395592576,-0.0019224467851305521
E. coli Consensus,15,87,1700,-0.08547953532675659,-0.05017730621132807,-0.03530222911542852
E. coli Consensus,15,88,1700,-0.12405911641591211,-0.0891470732956333,-0.034912043120278805
E. coli Consensus,15,89,1700,-0.15797442521126487,-0.0820064277018817,-0.07596799750938317
E. coli Consensus,15,90,1700,-0.08833568662240109,-0.03953673608291642,-0.048798950539484666
E. coli Consensus,15,91,1700,-0.13775695896001278,-0.08546093373199493,-0.05229602522801785
E. coli Consensus,15,92,1695,-0.14719428838988077,-0.05726332386865007,-0.0899309645212307
E. coli Consensus,15,93,1695,0.0018322674239265135,-0.05069237931712196,0.052524646741048474
E. coli Consensus,15,94,1700,-0.20302430732956514,-0.062001776694268415,-0.14102253063529674
E. coli Consensus,15,95,1695,-0.14770310645701465,-0.06646287137814116,-0.08124023507887349
E. coli Consensus,15,96,1700,-0.08363092700313221,-0.07593073737285816,-0.007700189630274051
E. coli Consensus,15,97,1700,-0.17774889261265017,-0.0650549292869976,-0.11269396332565257
E. coli Consensus,15,98,1699,-0.08348458913491975,-0.07444591961643339,-0.009038669518486364
E. coli Consensus,15,99,1699,-0.09170127648266416,-0.09592032215316741,0.004219045670503255
E. coli Consensus,15,100,1695,-0.0623055201443922,-0.04557886732383448,-0.01672665282055772
E. coli Consensus,20,1,1700,-0.09925960388322407,-0.05973904401409172,-0.039520559869132346
E. coli Consensus,20,2,1700,-0.14348913428238239,-0.044939929955326426,-0.09854920432705597
E. coli Consensus,20,3,1700,-0.08539529143226922,-0.09589235745646595,0.010497066024196727
E. coli Consensus,20,4,1700,-0.10542690466657807,-0.0449196771007449,-0.060507227565833176
E. coli Consensus,20,5,1700,-0.17066753305414417,-0.08505626790363122,-0.08561126515051296
E. coli Consensus,20,6,1700,-0.14753026225857707,-0.08499150770053299,-0.06253875455804409
E. coli Consensus,20,7,1700,-0.15663230497115244,-0.09454221328012438,-0.062090091691028054
E. coli Consensus,20,8,1700,-0.12077355288676289,-0.05156517249340744,-0.06920838039335545
E. coli Consensus,20,9,1700,-0.057542421755930925,-0.05904730586413364,0.0015048841082027156
E. coli Consensus,20,10,1700,-0.1287837053062862,-0.08370162219610344,-0.04508208311018275
E. coli Consensus,20,11,1700,-0.04831620427133304,-0.0665329922019032,0.01821678793057016
E. coli Consensus,20,12,1695,-0.1346964321689723,-0.04864841647615959,-0.08604801569281273
